========================================================================================================================
RÉSULTATS LM_Laplace - ÉVALUATION COMPLÈTE
========================================================================================================================

========================================================================================================================
📈 MÉTRIQUES GLOBALES MOYENNES
========================================================================================================================
MAP (Mean Average Precision):        0.4532
MAP Interpolée:                      0.4654
Mean P@5:                            0.6600
Mean P@10:                           0.5833
Mean R-Precision:                    0.4508
MRR (Mean Reciprocal Rank):          0.8474
Mean DCG@20:                         0.0000
Mean nDCG@20:                        1.0000
========================================================================================================================

========================================================================================================================
REQUÊTE 1
========================================================================================================================
Documents pertinents (R): 37
Documents pertinents trouvés: 37

MÉTRIQUES:
------------------------------------------------------------------------------------------------------------------------
Rappel:              1.0000
Précision:           0.0358
F-Mesure:            0.0692
P@5:                 1.0000
P@10:                0.9000
R-Precision:         0.6486
Reciprocal Rank:     1.0000
Average Precision:   0.7540
AP Interpolée:       0.7614
DCG@20:              0.0000
nDCG@20:             1.0000

CLASSEMENT COMPLET:
------------------------------------------------------------------------------------------------------------------------
Rang   Doc      Pert.    Rappel       Précision   
------------------------------------------------------------------------------------------------------------------------
1      500      ✓        0.0270       1.0000      
2      511      ✓        0.0541       1.0000      
3      72       ✓        0.0811       1.0000      
4      171      ✓        0.1081       1.0000      
5      506      ✓        0.1351       1.0000      
6      13       ✓        0.1622       1.0000      
7      168      ✓        0.1892       1.0000      
8      502      ✓        0.2162       1.0000      
9      509      ✗        -            -           
10     181      ✓        0.2432       0.9000      
11     180      ✓        0.2703       0.9091      
12     510      ✓        0.2973       0.9167      
13     637      ✗        -            -           
14     507      ✓        0.3243       0.8571      
15     138      ✓        0.3514       0.8667      
16     15       ✓        0.3784       0.8750      
17     212      ✓        0.4054       0.8824      
18     401      ✗        -            -           
19     184      ✓        0.4324       0.8421      
20     403      ✗        -            -           
21     513      ✓        0.4595       0.8095      
22     166      ✓        0.4865       0.8182      
23     542      ✗        -            -           
24     41       ✗        -            -           
25     206      ✗        -            -           
26     499      ✓        0.5135       0.7308      
27     838      ✗        -            -           
28     645      ✗        -            -           
29     501      ✓        0.5405       0.6897      
30     503      ✓        0.5676       0.7000      
31     182      ✓        0.5946       0.7097      
32     504      ✓        0.6216       0.7188      
33     965      ✗        -            -           
34     58       ✗        -            -           
35     508      ✓        0.6486       0.6857      
36     570      ✗        -            -           
37     65       ✗        -            -           
38     259      ✗        -            -           
39     177      ✗        -            -           
40     99       ✗        -            -           
41     512      ✗        -            -           
42     172      ✓        0.6757       0.5952      
43     142      ✓        0.7027       0.6047      
44     640      ✗        -            -           
45     758      ✗        -            -           
46     986      ✗        -            -           
47     167      ✓        0.7297       0.5745      
48     170      ✓        0.7568       0.5833      
49     79       ✓        0.7838       0.5918      
50     127      ✗        -            -           
51     169      ✓        0.8108       0.5882      
52     125      ✗        -            -           
53     231      ✗        -            -           
54     763      ✗        -            -           
55     899      ✗        -            -           
56     11       ✗        -            -           
57     164      ✓        0.8378       0.5439      
58     256      ✗        -            -           
59     173      ✗        -            -           
60     540      ✗        -            -           
61     174      ✗        -            -           
62     642      ✗        -            -           
63     876      ✗        -            -           
64     541      ✗        -            -           
65     14       ✓        0.8649       0.4923      
66     209      ✗        -            -           
67     165      ✓        0.8919       0.4925      
68     183      ✓        0.9189       0.5000      
69     469      ✗        -            -           
70     700      ✗        -            -           
71     360      ✗        -            -           
72     185      ✓        0.9459       0.4861      
73     9        ✗        -            -           
74     870      ✗        -            -           
75     873      ✗        -            -           
76     869      ✗        -            -           
77     186      ✓        0.9730       0.4675      
78     178      ✗        -            -           
79     211      ✓        1.0000       0.4684      
80     163      ✗        -            -           
81     654      ✗        -            -           
82     404      ✗        -            -           
83     215      ✗        -            -           
84     578      ✗        -            -           
85     130      ✗        -            -           
86     900      ✗        -            -           
87     333      ✗        -            -           
88     603      ✗        -            -           
89     445      ✗        -            -           
90     584      ✗        -            -           
91     816      ✗        -            -           
92     660      ✗        -            -           
93     734      ✗        -            -           
94     78       ✗        -            -           
95     730      ✗        -            -           
96     590      ✗        -            -           
97     658      ✗        -            -           
98     112      ✗        -            -           
99     913      ✗        -            -           
100    567      ✗        -            -           
101    158      ✗        -            -           
102    589      ✗        -            -           
103    593      ✗        -            -           
104    652      ✗        -            -           
105    880      ✗        -            -           
106    905      ✗        -            -           
107    896      ✗        -            -           
108    606      ✗        -            -           
109    835      ✗        -            -           
110    875      ✗        -            -           
111    156      ✗        -            -           
112    516      ✗        -            -           
113    374      ✗        -            -           
114    464      ✗        -            -           
115    521      ✗        -            -           
116    42       ✗        -            -           
117    648      ✗        -            -           
118    685      ✗        -            -           
119    87       ✗        -            -           
120    248      ✗        -            -           
121    175      ✗        -            -           
122    220      ✗        -            -           
123    643      ✗        -            -           
124    67       ✗        -            -           
125    383      ✗        -            -           
126    262      ✗        -            -           
127    336      ✗        -            -           
128    375      ✗        -            -           
129    367      ✗        -            -           
130    213      ✗        -            -           
131    981      ✗        -            -           
132    189      ✗        -            -           
133    909      ✗        -            -           
134    442      ✗        -            -           
135    744      ✗        -            -           
136    82       ✗        -            -           
137    253      ✗        -            -           
138    454      ✗        -            -           
139    910      ✗        -            -           
140    849      ✗        -            -           
