========================================================================================================================
RÉSULTATS VSM_Cosine - ÉVALUATION COMPLÈTE
========================================================================================================================

========================================================================================================================
📈 MÉTRIQUES GLOBALES MOYENNES
========================================================================================================================
MAP (Mean Average Precision):        0.5133
MAP Interpolée:                      0.5295
Mean P@5:                            0.7267
Mean P@10:                           0.6333
Mean R-Precision:                    0.5117
MRR (Mean Reciprocal Rank):          0.9444
Mean DCG@20:                         1.6293
Mean nDCG@20:                        1.0000
========================================================================================================================

========================================================================================================================
REQUÊTE 1
========================================================================================================================
Documents pertinents (R): 37
Documents pertinents trouvés: 37

MÉTRIQUES:
------------------------------------------------------------------------------------------------------------------------
Rappel:              1.0000
Précision:           0.0358
F-Mesure:            0.0692
P@5:                 1.0000
P@10:                0.8000
R-Precision:         0.7568
Reciprocal Rank:     1.0000
Average Precision:   0.8233
AP Interpolée:       0.8322
DCG@20:              1.7549
nDCG@20:             1.0000

CLASSEMENT COMPLET:
------------------------------------------------------------------------------------------------------------------------
Rang   Doc      Pert.    Rappel       Précision   
------------------------------------------------------------------------------------------------------------------------
1      171      ✓        0.0270       1.0000      
2      13       ✓        0.0541       1.0000      
3      72       ✓        0.0811       1.0000      
4      506      ✓        0.1081       1.0000      
5      500      ✓        0.1351       1.0000      
6      511      ✓        0.1622       1.0000      
7      184      ✓        0.1892       1.0000      
8      15       ✓        0.2162       1.0000      
9      965      ✗        -            -           
10     509      ✗        -            -           
11     166      ✓        0.2432       0.8182      
12     181      ✓        0.2703       0.8333      
13     513      ✓        0.2973       0.8462      
14     138      ✓        0.3243       0.8571      
15     507      ✓        0.3514       0.8667      
16     360      ✗        -            -           
17     502      ✓        0.3784       0.8235      
18     167      ✓        0.4054       0.8333      
19     501      ✓        0.4324       0.8421      
20     212      ✓        0.4595       0.8500      
21     79       ✓        0.4865       0.8571      
22     838      ✗        -            -           
23     180      ✓        0.5135       0.8261      
24     182      ✓        0.5405       0.8333      
25     510      ✓        0.5676       0.8400      
26     637      ✗        -            -           
27     986      ✗        -            -           
28     503      ✓        0.5946       0.7857      
29     168      ✓        0.6216       0.7931      
30     512      ✗        -            -           
31     185      ✓        0.6486       0.7742      
32     170      ✓        0.6757       0.7812      
33     164      ✓        0.7027       0.7879      
34     169      ✓        0.7297       0.7941      
35     645      ✗        -            -           
36     172      ✓        0.7568       0.7778      
37     403      ✗        -            -           
38     142      ✓        0.7838       0.7632      
39     899      ✗        -            -           
40     401      ✗        -            -           
41     14       ✓        0.8108       0.7317      
42     763      ✗        -            -           
43     58       ✗        -            -           
44     256      ✗        -            -           
45     186      ✓        0.8378       0.6889      
46     65       ✗        -            -           
47     177      ✗        -            -           
48     508      ✓        0.8649       0.6667      
49     11       ✗        -            -           
50     499      ✓        0.8919       0.6600      
51     873      ✗        -            -           
52     504      ✓        0.9189       0.6538      
53     570      ✗        -            -           
54     211      ✓        0.9459       0.6481      
55     173      ✗        -            -           
56     869      ✗        -            -           
57     231      ✗        -            -           
58     99       ✗        -            -           
59     165      ✓        0.9730       0.6102      
60     183      ✓        1.0000       0.6167      
61     178      ✗        -            -           
62     540      ✗        -            -           
63     876      ✗        -            -           
64     870      ✗        -            -           
65     640      ✗        -            -           
66     404      ✗        -            -           
67     125      ✗        -            -           
68     542      ✗        -            -           
69     9        ✗        -            -           
70     127      ✗        -            -           
71     209      ✗        -            -           
72     900      ✗        -            -           
73     758      ✗        -            -           
74     578      ✗        -            -           
75     654      ✗        -            -           
76     896      ✗        -            -           
77     41       ✗        -            -           
78     174      ✗        -            -           
79     215      ✗        -            -           
80     816      ✗        -            -           
81     206      ✗        -            -           
82     175      ✗        -            -           
83     163      ✗        -            -           
84     603      ✗        -            -           
85     445      ✗        -            -           
86     642      ✗        -            -           
87     913      ✗        -            -           
88     336      ✗        -            -           
89     590      ✗        -            -           
90     660      ✗        -            -           
91     584      ✗        -            -           
92     333      ✗        -            -           
93     130      ✗        -            -           
94     112      ✗        -            -           
95     464      ✗        -            -           
96     875      ✗        -            -           
97     259      ✗        -            -           
98     658      ✗        -            -           
99     541      ✗        -            -           
100    727      ✗        -            -           
101    156      ✗        -            -           
102    648      ✗        -            -           
103    685      ✗        -            -           
104    606      ✗        -            -           
105    469      ✗        -            -           
106    383      ✗        -            -           
107    981      ✗        -            -           
108    589      ✗        -            -           
109    262      ✗        -            -           
110    730      ✗        -            -           
111    442      ✗        -            -           
112    516      ✗        -            -           
113    744      ✗        -            -           
114    734      ✗        -            -           
115    220      ✗        -            -           
116    78       ✗        -            -           
117    213      ✗        -            -           
118    253      ✗        -            -           
119    248      ✗        -            -           
120    950      ✗        -            -           
121    700      ✗        -            -           
122    643      ✗        -            -           
123    567      ✗        -            -           
124    835      ✗        -            -           
125    82       ✗        -            -           
126    87       ✗        -            -           
127    375      ✗        -            -           
128    549      ✗        -            -           
129    880      ✗        -            -           
130    374      ✗        -            -           
131    372      ✗        -            -           
132    234      ✗        -            -           
133    894      ✗        -            -           
134    42       ✗        -            -           
135    67       ✗        -            -           
136    652      ✗        -            -           
137    593      ✗        -            -           
138    160      ✗        -            -           
139    521      ✗        -            -           
140    367      ✗        -            -           
141    189      ✗        -            -           
142    86       ✗        -            -           
143    585      ✗        -            -           
144    577      ✗        -            -           
145    619      ✗        -            -           
146    454      ✗        -            -           
147    342      ✗        -            -           
148    158      ✗        -            -           
149    573      ✗        -            -           
150    826      ✗        -            -           
151    849      ✗        -            -           
152    496      ✗        -            -           
153    108      ✗        -            -           
154    650      ✗        -            -           
155    726      ✗        -            -           
156    632      ✗        -            -           
157    4        ✗        -            -           
158    984      ✗        -            -           
159    909      ✗        -            -           
160    195      ✗        -            -           
161    114      ✗        -            -           
162    1001     ✗        -            -           
163    207      ✗        -            -           
164    299      ✗        -            -           
165    214      ✗        -            -           
166    863      ✗        -            -           
167    576      ✗        -            -           
168    800      ✗        -            -           
169    267      ✗        -            -           
170    1029     ✗        -            -           
171    505      ✗        -            -           
172    631      ✗        -            -           
173    655      ✗        -            -           
174    24       ✗        -            -           
175    83       ✗        -            -           
176    486      ✗        -            -           
177    176      ✗        -            -           
178    831      ✗        -            -           
179    580      ✗        -            -           
180    872      ✗        -            -           
181    466      ✗        -            -           
182    300      ✗        -            -           
183    743      ✗        -            -           
184    886      ✗        -            -           
185    812      ✗        -            -           
186    95       ✗        -            -           
187    910      ✗        -            -           
188    188      ✗        -            -           
189    905      ✗        -            -           
190    719      ✗        -            -           
191    809      ✗        -            -           
192    421      ✗        -            -           
193    75       ✗        -            -           
194    604      ✗        -            -           
195    162      ✗        -            -           
196    627      ✗        -            -           
197    888      ✗        -            -           
198    70       ✗        -            -           
199    797      ✗        -            -           
200    999      ✗        -            -           
201    664      ✗        -            -           
202    581      ✗        -            -           
203    229      ✗        -            -           
204    408      ✗        -            -           
205    557      ✗        -            -           
206    769      ✗        -            -           
207    100      ✗        -            -           
208    208      ✗        -            -           
209    927      ✗        -            -           
210    322      ✗        -            -           
211    480      ✗        -            -           
212    35       ✗        -            -           
213    485      ✗        -            -           
214    811      ✗        -            -           
215    282      ✗        -            -           
216    196      ✗        -            -           
217    715      ✗        -            -           
218    326      ✗        -            -           
219    799      ✗        -            -           
220    1020     ✗        -            -           
221    907      ✗        -            -           
222    608      ✗        -            -           
223    569      ✗        -            -           
224    732      ✗        -            -           
225    1        ✗        -            -           
226    2        ✗        -            -           
227    3        ✗        -            -           
228    5        ✗        -            -           
229    6        ✗        -            -           
230    7        ✗        -            -           
231    8        ✗        -            -           
232    10       ✗        -            -           
233    12       ✗        -            -           
234    16       ✗        -            -           
235    17       ✗        -            -           
236    18       ✗        -            -           
237    19       ✗        -            -           
238    20       ✗        -            -           
239    21       ✗        -            -           
240    22       ✗        -            -           
241    23       ✗        -            -           
242    25       ✗        -            -           
243    26       ✗        -            -           
244    27       ✗        -            -           
245    28       ✗        -            -           
246    29       ✗        -            -           
247    30       ✗        -            -           
248    31       ✗        -            -           
249    32       ✗        -            -           
250    33       ✗        -            -           
251    34       ✗        -            -           
252    36       ✗        -            -           
253    37       ✗        -            -           
254    38       ✗        -            -           
255    39       ✗        -            -           
256    40       ✗        -            -           
257    43       ✗        -            -           
258    44       ✗        -            -           
259    45       ✗        -            -           
260    46       ✗        -            -           
261    47       ✗        -            -           
262    48       ✗        -            -           
263    49       ✗        -            -           
264    50       ✗        -            -           
265    51       ✗        -            -           
266    52       ✗        -            -           
267    53       ✗        -            -           
268    54       ✗        -            -           
269    55       ✗        -            -           
270    56       ✗        -            -           
271    57       ✗        -            -           
272    59       ✗        -            -           
273    60       ✗        -            -           
274    61       ✗        -            -           
275    62       ✗        -            -           
276    63       ✗        -            -           
277    64       ✗        -            -           
278    66       ✗        -            -           
279    68       ✗        -            -           
280    69       ✗        -            -           
281    71       ✗        -            -           
282    73       ✗        -            -           
283    74       ✗        -            -           
284    76       ✗        -            -           
285    77       ✗        -            -           
286    80       ✗        -            -           
287    81       ✗        -            -           
288    84       ✗        -            -           
289    85       ✗        -            -           
290    88       ✗        -            -           
291    89       ✗        -            -           
292    90       ✗        -            -           
293    91       ✗        -            -           
294    92       ✗        -            -           
295    93       ✗        -            -           
296    94       ✗        -            -           
297    96       ✗        -            -           
298    97       ✗        -            -           
299    98       ✗        -            -           
300    101      ✗        -            -           
301    102      ✗        -            -           
302    103      ✗        -            -           
303    104      ✗        -            -           
304    105      ✗        -            -           
305    106      ✗        -            -           
306    107      ✗        -            -           
307    109      ✗        -            -           
308    110      ✗        -            -           
309    111      ✗        -            -           
310    113      ✗        -            -           
311    115      ✗        -            -           
312    116      ✗        -            -           
313    117      ✗        -            -           
314    118      ✗        -            -           
315    119      ✗        -            -           
316    120      ✗        -            -           
317    121      ✗        -            -           
318    122      ✗        -            -           
319    123      ✗        -            -           
320    124      ✗        -            -           
321    126      ✗        -            -           
322    128      ✗        -            -           
323    129      ✗        -            -           
324    131      ✗        -            -           
325    132      ✗        -            -           
326    133      ✗        -            -           
327    134      ✗        -            -           
328    135      ✗        -            -           
329    136      ✗        -            -           
330    137      ✗        -            -           
331    139      ✗        -            -           
332    140      ✗        -            -           
333    141      ✗        -            -           
334    143      ✗        -            -           
335    144      ✗        -            -           
336    145      ✗        -            -           
337    146      ✗        -            -           
338    147      ✗        -            -           
339    148      ✗        -            -           
340    149      ✗        -            -           
341    150      ✗        -            -           
342    151      ✗        -            -           
343    152      ✗        -            -           
344    153      ✗        -            -           
345    154      ✗        -            -           
346    155      ✗        -            -           
347    157      ✗        -            -           
348    159      ✗        -            -           
349    161      ✗        -            -           
350    179      ✗        -            -           
351    187      ✗        -            -           
352    190      ✗        -            -           
353    191      ✗        -            -           
354    192      ✗        -            -           
355    193      ✗        -            -           
356    194      ✗        -            -           
357    197      ✗        -            -           
358    198      ✗        -            -           
359    199      ✗        -            -           
360    200      ✗        -            -           
361    201      ✗        -            -           
362    202      ✗        -            -           
363    203      ✗        -            -           
364    204      ✗        -            -           
365    205      ✗        -            -           
366    210      ✗        -            -           
367    216      ✗        -            -           
368    217      ✗        -            -           
369    218      ✗        -            -           
370    219      ✗        -            -           
371    221      ✗        -            -           
372    222      ✗        -            -           
373    223      ✗        -            -           
374    224      ✗        -            -           
375    225      ✗        -            -           
376    226      ✗        -            -           
377    227      ✗        -            -           
378    228      ✗        -            -           
379    230      ✗        -            -           
380    232      ✗        -            -           
381    233      ✗        -            -           
382    235      ✗        -            -           
383    236      ✗        -            -           
384    237      ✗        -            -           
385    238      ✗        -            -           
386    239      ✗        -            -           
387    240      ✗        -            -           
388    241      ✗        -            -           
389    242      ✗        -            -           
390    243      ✗        -            -           
391    244      ✗        -            -           
392    245      ✗        -            -           
393    246      ✗        -            -           
394    247      ✗        -            -           
395    249      ✗        -            -           
396    250      ✗        -            -           
397    251      ✗        -            -           
398    252      ✗        -            -           
399    254      ✗        -            -           
400    255      ✗        -            -           
401    257      ✗        -            -           
402    258      ✗        -            -           
403    260      ✗        -            -           
404    261      ✗        -            -           
405    263      ✗        -            -           
406    264      ✗        -            -           
407    265      ✗        -            -           
408    266      ✗        -            -           
409    268      ✗        -            -           
410    269      ✗        -            -           
411    270      ✗        -            -           
412    271      ✗        -            -           
413    272      ✗        -            -           
414    273      ✗        -            -           
415    274      ✗        -            -           
416    275      ✗        -            -           
417    276      ✗        -            -           
418    277      ✗        -            -           
419    278      ✗        -            -           
420    279      ✗        -            -           
421    280      ✗        -            -           
422    281      ✗        -            -           
423    283      ✗        -            -           
424    284      ✗        -            -           
425    285      ✗        -            -           
426    286      ✗        -            -           
427    287      ✗        -            -           
428    288      ✗        -            -           
429    289      ✗        -            -           
430    290      ✗        -            -           
431    291      ✗        -            -           
432    292      ✗        -            -           
433    293      ✗        -            -           
434    294      ✗        -            -           
435    295      ✗        -            -           
436    296      ✗        -            -           
437    297      ✗        -            -           
438    298      ✗        -            -           
439    301      ✗        -            -           
440    302      ✗        -            -           
441    303      ✗        -            -           
442    304      ✗        -            -           
443    305      ✗        -            -           
444    306      ✗        -            -           
445    307      ✗        -            -           
446    308      ✗        -            -           
447    309      ✗        -            -           
448    310      ✗        -            -           
449    311      ✗        -            -           
450    312      ✗        -            -           
