Query,BIR_Classic_WithRel AP,BIR_Extended_WithRel AP,Gain BIR_Classic_WithRel vs BIR_Extended_WithRel (%)
Q1,0.967,0.9886,-2.184907950637271
Q2,0.6,0.4716,27.22646310432569
Q3,0.6264,0.5266,18.95176604633498
Q4,0.5465,0.4566,19.689005694261933
Q5,0.8169,0.7807,4.636864352504165
Q6,0.7352,0.7561,-2.7641846316624825
Q7,0.5855,0.5995,-2.335279399499585
Q8,0.2931,0.4986,-41.21540312876053
Q9,0.8155,0.7296,11.773574561403505
Q10,0.2065,0.2419,-14.634146341463419
Mean,0.6192599999999999,0.6049800000000001,1.9143752306806987
