Query,BIR_Extended_WithRel AP,LM_JelinekMercer AP,Gain BIR_Extended_WithRel vs LM_JelinekMercer (%)
Q1,0.9886,0.719,37.49652294853965
Q2,0.4716,0.4365,8.041237113402067
Q3,0.5266,0.4845,8.689370485036115
Q4,0.4566,0.3239,40.969435010805796
Q5,0.7807,0.8156,-4.279058361942133
Q6,0.7561,0.7987,-5.333667209214971
Q7,0.5995,0.0232,2484.051724137931
Q8,0.4986,0.0323,1443.6532507739937
Q9,0.7296,0.3774,93.32273449920508
Q10,0.2419,0.2225,8.719101123595506
Mean,0.6049800000000001,0.42336,411.53306505213516
