Query,BIR_Classic_WithRel DCG@20,BIR_Extended DCG@20,Gain BIR_Classic_WithRel vs BIR_Extended (%)
Q1,48.7713,27.4285,77.81249430337057
Q2,43.3649,26.5432,63.374800325507096
Q3,39.2643,18.3863,113.5519381278452
Q4,30.9,18.6853,65.3706389514752
Q5,85.1613,43.3158,96.60562658429485
Q6,71.2388,49.0371,45.275311957681005
Q7,79.7829,78.617,1.4830125799763327
Q8,68.836,45.4556,51.43568669206875
Q9,36.6931,26.2673,39.691174958979424
Q10,11.6488,14.0552,-17.1210655131197
Mean,51.566140000000004,34.779129999999995,53.74796189680787
