Query,BIR_Classic_WithRel DCG@20,BIR_Extended_WithRel DCG@20,Gain BIR_Classic_WithRel vs BIR_Extended_WithRel (%)
Q1,48.7713,53.4543,-8.760754513668697
Q2,43.3649,29.153,48.74935684149144
Q3,39.2643,24.4617,60.51337396828511
Q4,30.9,17.5809,75.75892019179905
Q5,85.1613,67.2322,26.667430189700752
Q6,71.2388,70.5532,0.9717489780761096
Q7,79.7829,76.2844,4.586127701076488
Q8,68.836,69.4196,-0.8406847633809531
Q9,36.6931,32.6778,12.287546897281958
Q10,11.6488,9.977,16.756540042096816
Mean,51.566140000000004,45.07941,23.66896055327581
