Query,BIR_Classic_WithRel DCG@20,LSI DCG@20,Gain BIR_Classic_WithRel vs LSI (%)
Q1,48.7713,13.4592,262.3640335235378
Q2,43.3649,15.7052,176.11810101113008
Q3,39.2643,10.5869,270.8762716186986
Q4,30.9,8.4769,264.5200486026731
Q5,85.1613,18.1547,369.08679295168747
Q6,71.2388,29.2945,143.18148457901654
Q7,79.7829,32.0053,149.2802754543779
Q8,68.836,16.581,315.14987033351423
Q9,36.6931,16.1843,126.72034008267272
Q10,11.6488,3.3433,248.42221756946725
Mean,51.566140000000004,16.379129999999996,232.57194357267758
