Query,BIR_Classic DCG@20,BIR_Extended DCG@20,Gain BIR_Classic vs BIR_Extended (%)
Q1,24.7694,27.4285,-9.694660663178805
Q2,41.7941,26.5432,57.45690044907924
Q3,30.9168,18.3863,68.15128655575076
Q4,25.7577,18.6853,37.85007465761854
Q5,61.2813,43.3158,41.47562783095313
Q6,50.8799,49.0371,3.7579710056263456
Q7,79.6917,78.617,1.3670071358611913
Q8,57.0044,45.4556,25.406770562922944
Q9,35.8103,26.2673,36.33034228870116
Q10,15.764,14.0552,12.157777904263192
Mean,42.36696,34.779129999999995,27.42590977275977
