Query,BIR_Classic DCG@20,BIR_Extended_WithRel DCG@20,Gain BIR_Classic vs BIR_Extended_WithRel (%)
Q1,24.7694,53.4543,-53.662474300477236
Q2,41.7941,29.153,43.36123212019347
Q3,30.9168,24.4617,26.388599320570517
Q4,25.7577,17.5809,46.509564356773545
Q5,61.2813,67.2322,-8.851264721368636
Q6,50.8799,70.5532,-27.88434826485546
Q7,79.6917,76.2844,4.466575079570649
Q8,57.0044,69.4196,-17.88428628226035
Q9,35.8103,32.6778,9.586018642625882
Q10,15.764,9.977,58.00340783802746
Mean,42.36696,45.07941,8.003302378879983
