Query,BIR_Extended DCG@20,LSI DCG@20,Gain BIR_Extended vs LSI (%)
Q1,27.4285,13.4592,103.78997265810747
Q2,26.5432,15.7052,69.00899065277743
Q3,18.3863,10.5869,73.67029064220876
Q4,18.6853,8.4769,120.42609916360934
Q5,43.3158,18.1547,138.59276110318544
Q6,49.0371,29.2945,67.39353803615015
Q7,78.617,32.0053,145.63744129878492
Q8,45.4556,16.581,174.14269344430372
Q9,26.2673,16.1843,62.301118985683644
Q10,14.0552,3.3433,320.3990069691622
Mean,34.779129999999995,16.379129999999996,127.53619129539729
