,BIR_Classic,BIR_Classic_WithRel,BIR_Extended,BIR_Extended_WithRel,BM25,LM_Add1,LM_Dirichlet,LM_JelinekMercer,LM_MLE,LSI,VSM
BIR_Classic,0.0,-13.173732692209825,27.42590977275977,8.003302378879983,-26.251170186528963,0.0,7881900.0,0.0,3940899.999999999,184.28353370703093,2476.1201112562426
BIR_Classic_WithRel,22.3835531278539,0.0,53.74796189680787,23.66896055327581,-10.691028119866829,0.0,5824300.0,0.0,2912099.9999999995,232.57194357267758,2974.9448813160006
BIR_Extended,-18.577731494576348,-29.873902755186293,0.0,-15.246771923251213,-40.51263665143852,0.0,7027500.0,0.0,3513699.999999999,127.53619129539729,1970.6113022314378
BIR_Extended_WithRel,5.336067196512309,-15.482197808577947,27.60838286166093,0.0,-23.841463575624196,0.0,4988400.0,0.0,2494149.9999999995,178.975617076902,2541.3674074306623
BM25,36.3287924935896,17.34081550993333,72.16829203912502,45.2077733056862,0.0,0.0,10571350.0,0.0,5285625.0,285.07416984543187,3378.9660242138116
LM_Add1,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-10.0,0.0,-10.0,-100.0,-100.0
LM_Dirichlet,-99.99987312864755,-99.9998283084953,-99.9998577039103,-99.99979953893956,-99.99990540559716,0.0,0.0,0.0,-5.0,-99.99940178865192,-99.99836574603694
LM_JelinekMercer,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-10.0,0.0,-10.0,-100.0,-100.0
LM_MLE,-99.9997462572951,-99.99965661699059,-99.99971540782059,-99.99959907787913,-99.9998108111943,0.0,10.0,0.0,0.0,-99.99880357730386,-99.99673149207386
LSI,-61.80784969798932,-68.2339795324756,-52.457393338677285,-61.2051917767022,-72.06098656766326,0.0,1671550.0,0.0,835725.0,0.0,860.5351506967894
VSM,-95.36626350140344,-95.95981323845626,-94.26668614998128,-94.95435841751093,-96.6247052861878,0.0,611800.0,0.0,305850.0,-86.70217888375377,0.0
