Query,BIR_Classic_WithRel DCG@20,BIR_Extended_WithRel DCG@20,Gain BIR_Classic_WithRel vs BIR_Extended_WithRel (%)
Q1,48.7713,53.4543,-8.760754513668697
Q2,43.3649,29.153,32.772818569857186
Q3,39.2643,24.4617,37.69989532476066
Q4,30.9,17.5809,43.10388349514563
Q5,85.1613,67.2322,21.053107456086266
Q6,71.2388,70.5532,0.9623968960734794
Q7,79.7829,76.2844,4.385024861217119
Q8,68.836,69.4196,-0.8406847633809531
Q9,36.6931,32.6778,10.94292932458692
Q10,11.6488,9.977,14.35169287823638
Mean,51.566140000000004,45.07941,15.5670309528914
