Query,BIR_Classic_WithRel DCG@20,BM25 DCG@20,Gain BIR_Classic_WithRel vs BM25 (%)
Q1,48.7713,37.4276,23.258965826213366
Q2,43.3649,56.9002,-23.78778984959631
Q3,39.2643,38.6094,1.6679273538557873
Q4,30.9,34.6095,-10.718155419754687
Q5,85.1613,83.7335,1.6765831428125106
Q6,71.2388,77.9378,-8.595315751791812
Q7,79.7829,107.9673,-26.104570550527797
Q8,68.836,79.5101,-13.42483533538506
Q9,36.6931,42.2172,-13.084951157348184
Q10,11.6488,21.1429,-44.904436004521614
Mean,51.566140000000004,58.00555000000001,-11.401657774604379
