Query,BIR_Classic_WithRel DCG@20,LSI DCG@20,Gain BIR_Classic_WithRel vs LSI (%)
Q1,48.7713,13.4592,72.40344218833617
Q2,43.3649,15.7052,63.78361301421196
Q3,39.2643,10.5869,73.03682989382212
Q4,30.9,8.4769,72.56666666666666
Q5,85.1613,18.1547,78.68198348310793
Q6,71.2388,29.2945,58.87844826134073
Q7,79.7829,32.0053,59.88451159333642
Q8,68.836,16.581,75.91231332442327
Q9,36.6931,16.1843,55.89279728341295
Q10,11.6488,3.3433,71.29918961609778
Mean,51.566140000000004,16.379129999999996,68.2339795324756
