Query,BIR_Classic DCG@20,BIR_Extended_WithRel DCG@20,Gain BIR_Classic vs BIR_Extended_WithRel (%)
Q1,24.7694,53.4543,-53.662474300477236
Q2,41.7941,29.153,30.246135220043023
Q3,30.9168,24.4617,20.878939605651293
Q4,25.7577,17.5809,31.74507040613098
Q5,61.2813,67.2322,-8.851264721368636
Q6,50.8799,70.5532,-27.88434826485546
Q7,79.6917,76.2844,4.275602101599028
Q8,57.0044,69.4196,-17.88428628226035
Q9,35.8103,32.6778,8.74748326598772
Q10,15.764,9.977,36.71022583100736
Mean,42.36696,45.07941,2.432108286145772
