,BIR_Classic,BIR_Classic_WithRel,BIR_Extended,BIR_Extended_WithRel,BM25,LM_Add1,LM_Dirichlet,LM_JelinekMercer,LM_MLE,LSI,VSM
BIR_Classic,0.0,-14.095952145023727,18.68180778293803,2.432108286145772,-26.251170186528963,100.0,99.99987312864755,100.0,99.9997462572951,61.80784969798932,95.36626350140344
BIR_Classic_WithRel,14.095952145023727,0.0,30.227588388477034,15.5670309528914,-11.401657774604379,100.0,99.9998283084953,100.0,99.99965661699059,68.2339795324756,95.95981323845626
BIR_Extended,-18.68180778293803,-30.227588388477034,0.0,-16.47901523020849,-40.51263665143852,100.0,99.9998577039103,100.0,99.99971540782059,52.457393338677285,94.26668614998128
BIR_Extended_WithRel,-2.432108286145772,-15.5670309528914,16.47901523020849,0.0,-25.125311516849276,100.0,99.99979953893956,100.0,99.99959907787913,61.2051917767022,94.95435841751093
BM25,26.251170186528963,11.401657774604379,40.51263665143852,25.125311516849276,0.0,100.0,99.99990540559716,100.0,99.9998108111943,72.06098656766326,96.6247052861878
LM_Add1,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-10.0,0.0,-10.0,-100.0,-100.0
LM_Dirichlet,-99.99987312864755,-99.9998283084953,-99.9998577039103,-99.99979953893956,-99.99990540559716,10.0,0.0,10.0,-5.0,-99.99940178865192,-99.99836574603694
LM_JelinekMercer,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-10.0,0.0,-10.0,-100.0,-100.0
LM_MLE,-99.9997462572951,-99.99965661699059,-99.99971540782059,-99.99959907787913,-99.9998108111943,10.0,5.0,10.0,0.0,-99.99880357730386,-99.99673149207386
LSI,-61.80784969798932,-68.2339795324756,-52.457393338677285,-61.2051917767022,-72.06098656766326,100.0,99.99940178865192,100.0,99.99880357730386,0.0,86.70217888375377
VSM,-95.36626350140344,-95.95981323845626,-94.26668614998128,-94.95435841751093,-96.6247052861878,100.0,99.99836574603694,100.0,99.99673149207386,-86.70217888375377,0.0
